StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,8B,9B,10B,11B,12B,13B,14B,15B,16B,17B,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Thank you for participating in this survey - we greatly appreciate it! The survey should take less than 10 minutes to complete. 



The first series of questions are solely for data analysis purposes. We will not collect any personally identifiable information and the survey is completely anonymous.





Which gender do you identify with?",Are you a registered voter?,What is your age group?,What is your politicial affiliation?,What is your highest level of education?,What ethnicity do you identify as?,Do you consider yourself to be active on social media platforms?,"Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media. 



 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media. 









 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?","Disclaimer: Content on social media may contain false or misleading information. Please exercise your best judgment when evaluating the accuracy of content viewed on social media.





 

 

Do you believe that the content of the above post is true?",Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?,Do you believe that the content of the above post is true?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID18""}","{""ImportId"":""QID14""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}"
2020-07-17 18:52:45,2020-07-17 18:59:24,0,73.93.90.157,100,399,1,2020-07-17 18:59:25,R_u8Geu0CykTxNh6h,,,,,37.777099609375,-122.40599822998046875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,2,1,2,1,6,1,1,,,,,,,,,,,0,0,1,0,0,1,0,0,1,1
2020-07-17 19:46:06,2020-07-17 19:48:33,0,98.234.117.52,100,147,1,2020-07-17 19:48:34,R_2EgXOU7K2nTlgqG,,,,,36.5802001953125,-121.84429931640625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,2,1,2,3,6,3,2,0,0,1,0,0,1,0,1,1,1,,,,,,,,,,
2020-07-17 19:48:21,2020-07-17 19:59:28,0,71.244.172.196,100,666,1,2020-07-17 19:59:28,R_1NgJqwlFgUpLjT1,,,,,39.1269073486328125,-76.697998046875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,2,1,2,,5,3,2,,,,,,,,,,,0,0,1,0,1,1,1,0,1,1
2020-07-17 20:01:07,2020-07-17 20:04:12,0,173.67.9.152,100,185,1,2020-07-17 20:04:13,R_33woiiDhvnhBZZR,,,,,39.1269073486328125,-76.697998046875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,2,1,2,1,5,5,2,1,0,1,0,1,1,0,0,1,1,,,,,,,,,,
2020-07-17 19:58:48,2020-07-17 20:13:25,0,174.195.207.41,100,876,1,2020-07-17 20:13:25,R_3nAiDFypCLOOxYV,,,,,33.87890625,-117.53530120849609375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,2,1,2,3,5,3,1,,,,,,,,,,,0,0,1,0,1,1,0,0,1,1
2020-07-17 20:08:21,2020-07-17 20:17:59,0,67.188.128.89,100,578,1,2020-07-17 20:18:00,R_3QXbtPAqPrxpNRD,,,,,36.6808013916015625,-121.61640167236328125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1,1,4,2,6,3,2,,,,,,,,,,,1,0,1,0,1,1,1,1,1,1
2020-07-17 20:04:01,2020-07-17 20:27:11,0,73.133.184.79,100,1390,1,2020-07-17 20:27:12,R_1ocBwl8FtVc20Km,,,,,39.264495849609375,-76.62239837646484375,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,1,1,2,1,3,5,2,0,1,1,0,1,1,0,0,1,1,,,,,,,,,,
2020-07-17 20:31:38,2020-07-17 20:34:34,0,73.133.161.221,100,175,1,2020-07-17 20:34:34,R_YQcgBAbnCHRBqy5,,,,,39.21240234375,-76.87760162353515625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1,1,2,2,3,3,2,1,1,1,0,0,1,1,0,0,1,,,,,,,,,,
2020-07-17 20:44:12,2020-07-17 20:48:26,0,71.244.172.196,100,254,1,2020-07-17 20:48:26,R_2vjgdJ9ggRVQ4gw,,,,,39.1269073486328125,-76.697998046875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1,1,2,1,5,3,2,,,,,,,,,,,0,1,1,0,0,1,0,1,1,1
2020-07-17 20:53:37,2020-07-17 20:59:14,0,71.84.24.228,100,337,1,2020-07-17 20:59:15,R_1BReroc7mcUuy7L,,,,,35.261199951171875,-120.654998779296875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,2,1,1,1,3,3,1,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1
2020-07-17 21:02:55,2020-07-17 21:06:32,0,67.188.128.89,100,217,1,2020-07-17 21:06:33,R_1PR9nClxFuFf4hq,,,,,36.6808013916015625,-121.61640167236328125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,2,1,4,3,6,3,2,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,
2020-07-17 21:04:39,2020-07-17 21:08:49,0,71.84.24.228,100,249,1,2020-07-17 21:08:49,R_yPd0xFUHgXfmVhf,,,,,35.261199951171875,-120.654998779296875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,2,1,1,1,2,5,1,,,,,,,,,,,0,0,1,1,0,1,0,0,1,1
2020-07-17 20:51:30,2020-07-17 21:22:20,0,71.198.76.46,100,1850,1,2020-07-17 21:22:20,R_3OiAJtAfOt790Vr,,,,,36.6703948974609375,-121.6591949462890625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1,1,2,2,5,3,2,0,0,1,0,0,1,0,1,1,0,,,,,,,,,,
2020-07-17 22:19:53,2020-07-17 22:25:48,0,71.198.76.46,100,355,1,2020-07-17 22:25:48,R_2uQzyHifWOC66b9,,,,,36.6703948974609375,-121.6591949462890625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,2,1,2,2,5,3,1,,,,,,,,,,,0,1,1,0,1,1,0,1,1,0
2020-07-17 23:27:18,2020-07-17 23:34:09,0,73.241.227.24,100,411,1,2020-07-17 23:34:10,R_1ohZxnYXRC49FXn,,,,,37.8567047119140625,-122.0218048095703125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,2,2,2,1,6,1,2,0,0,1,0,1,1,0,0,1,1,,,,,,,,,,
2020-07-18 08:20:36,2020-07-18 08:25:16,0,64.179.157.235,100,280,1,2020-07-18 08:25:17,R_BXHbmZ7ntfkoa7T,,,,,44.497406005859375,-103.8668975830078125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,2,1,2,2,6,3,2,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0
2020-07-18 09:21:58,2020-07-18 09:25:12,0,71.80.241.79,100,194,1,2020-07-18 09:25:12,R_1kMQ1WU7GwWtC9s,,,,,35.261199951171875,-120.654998779296875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1,1,1,2,3,3,1,0,0,1,0,1,1,0,1,1,1,,,,,,,,,,
2020-07-18 21:11:59,2020-07-18 21:20:17,0,76.103.187.70,100,498,1,2020-07-18 21:20:17,R_3iOLLqDtP1CwD6H,,,,,37.2599029541015625,-121.9170989990234375,anonymous,EN,0.6999999999999999555910790149937383830547332763671875,2,2,2,1,6,1,1,1,1,1,0,0,1,0,1,1,0,,,,,,,,,,
2020-07-18 21:22:15,2020-07-18 21:31:32,0,73.223.76.136,100,557,1,2020-07-18 21:31:32,R_2ygsMO9QVCwhbTR,,,,,37.3177032470703125,-121.9380035400390625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,2,2,2,3,6,1,1,,,,,,,,,,,0,0,1,1,1,1,1,0,1,1
2020-07-19 14:44:44,2020-07-19 14:48:32,0,98.210.122.31,100,227,1,2020-07-19 14:48:32,R_3HH6GOeHfLNJFmL,,,,,37.3511962890625,-121.8845977783203125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,2,2,2,3,6,1,1,0,,0,1,1,1,0,1,1,1,,,,,,,,,,
2020-07-19 19:57:04,2020-07-19 20:01:10,0,98.210.122.31,100,245,1,2020-07-19 20:01:10,R_3sv6y2PXzZ2oSBe,,,,,37.3511962890625,-121.8845977783203125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1,2,2,3,6,1,1,,,,,,,,,,,0,0,1,0,0,1,0,0,1,1
2020-07-19 22:47:57,2020-07-19 22:51:16,0,71.204.165.211,100,199,1,2020-07-19 22:51:16,R_1q8rfaOZ6YlMjyc,,,,,37.347900390625,-122.03509521484375,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1,1,3,1,6,1,2,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1
2020-07-20 16:51:07,2020-07-20 16:55:35,0,144.178.28.141,100,268,1,2020-07-20 16:55:35,R_3QDTXtfcjGDnfT6,,,,,37.347900390625,-121.85269927978515625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1,2,2,1,5,1,2,1,0,1,0,0,1,0,0,1,1,,,,,,,,,,
2020-07-20 16:51:17,2020-07-20 17:52:28,0,17.234.58.134,100,3670,1,2020-07-20 17:52:28,R_1MX1qmP6vVsoyn1,,,,,37.33880615234375,-121.8914031982421875,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1,2,2,3,6,1,2,,,,,,,,,,,0,1,1,0,0,1,0,1,1,1
2020-07-20 17:48:45,2020-07-20 17:55:48,0,17.115.11.58,100,422,1,2020-07-20 17:55:49,R_7QicIpjLScfttLj,,,,,37.2821044921875,-121.83100128173828125,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,1,2,2,3,6,1,2,0,0,1,1,1,1,0,1,1,1,,,,,,,,,,
2020-07-21 08:29:49,2020-07-21 08:41:05,0,174.196.146.40,100,676,1,2020-07-21 08:41:05,R_2dBixvNlTAxR9NC,,,,,38.842803955078125,-77.089996337890625,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,2,1,2,,6,1,2,,,,,,,,,,,1,1,1,0,1,1,1,0,1,1
